1. 	  533543377 	3
2. 	  533543378 	4
3. 	  533543379 	2
4. 	  533543380 	1
5. 	  533543381 	1
6. 	  533543382 	2
7. 	  533543383 	2
8. 	  533543384 	3
9. 	  533543385 	4
10. 	533543386 	2
11. 	533543387 	3
12. 	533543388 	1
13. 	533543389 	3
14. 	533543390 	4
15. 	533543391 	4
16. 	533543392 	3
17. 	533543393 	2
18. 	533543394 	3
19. 	533543395 	2
20. 	533543396 	3
21. 	533543397 	5
22. 	533543398 	28
23. 	533543399 	2890
24. 	533543400 	9
25. 	533543401 	202
26. 	533543402 	119
27. 	533543403 	29
28. 	533543404 	5
29. 	533543405 	12
30. 	533543406 	48
31. 	533543407 	3
32. 	533543408 	3
33. 	533543409 	2
34. 	533543410 	3
35. 	533543411 	1
36. 	533543412 	1
37. 	533543413 	4
38. 	533543414 	2
39. 	533543415 	4
40. 	533543416 	3
41. 	533543417 	2
42. 	533543418 	3
43. 	533543419 	2
44. 	533543420 	1
45. 	533543421 	1
46. 	533543422 	2
47. 	533543423 	2
48. 	533543424 	4
49. 	533543425 	3
50. 	533543426 	3
51. 	533543427 	673
52. 	533543428 	16
53. 	533543429 	2
54. 	533543430 	12
55. 	533543431 	3
56. 	533543432 	400
57. 	533543433 	160
58. 	533543434 	2
59. 	533543435 	31
60. 	533543436 	236
61. 	533543437 	3
62. 	533543438 	1
63. 	533543439 	1
64. 	533543440 	3
65. 	533543441 	1
66. 	533543442 	1
67. 	533543443 	2
68. 	533543444 	2
69. 	533543445 	2
70. 	533543446 	4
71. 	533543447 	2
72. 	533543448 	2
73. 	533543449 	4
74. 	533543450 	3
75. 	533543451 	1
76. 	533543452 	3
77. 	533543453 	3
78. 	533543454 	3
79. 	533543455 	2
80. 	533543456 	2
81. 	533543457 	8
82. 	533543458 	16
83. 	533543459 	6
84. 	533543460 	1200
85. 	533543461 	3
86. 	533543462 	108
87. 	533543463 	2
88. 	533543464 	4
89. 	533543465 	3
90. 	533543466 	4
